Path,Average
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\06-South_Secondary\SSEC_PE_Pump_Station\PE_Analyzers|SSEC PEPS TSS Analyzer (AI_S50C),60m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\07-Disinfection\Dis_Plant_Flows|S CMPLX SEC EFF FLOW (FI-F4),60m
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|ALK_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|BOD_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|COD_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|NH3A_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|NO5_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|OP_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|PW_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|TIN_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|TKNH_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|TN_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|TOC_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_420_0011-RWH South, Pri Pump Station, Pri Eff|TSS_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|ALK_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|BOD_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|CBOD_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|NH3A_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|NH3A_G",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|NO5_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|NO5_G",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|OP_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|OP_G",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|PW_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|TIN_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|TKNH_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|TN_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|TSS_FC24",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|TSS_G",24h
"\\APPLEPI_AF\MWRD_Production\Labworks Data\011_712_1011-RWH South, Disinfection, Eff|TSSM_G",24h
\\APPLEPI_AF\MWRD_Production\Labworks Data\4B-South Final Effluent Platform|PW_FC24,24h
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\07-Disinfection\Dis_Outfall_Samplers\Dis_South_Outfall|South Outfall Temperature,15m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\07-Disinfection\Dis_PAA\South_PAA\South_PAA_Analyzers\S PAA Analyzers_Upstream\K871_PAA_Analyzyer|DIS PAA S Upstream Hach CL17 #1 - (AI_K871),15m
\\APPLEPI_AF\MWRD_Production\Hite Treatment Plant\07-Disinfection\Dis_PAA\South_PAA\South_PAA_Dose_Cntrl|DIS S PAA Total Flow (FY_K860),15m
